Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
8MM,1999,R,26 Feb 1999,123 min,"Mystery, Thriller",Joel Schumacher,Andrew Kevin Walker,"Nicolas Cage, Joaquin Phoenix, James Gandolfini, Peter Stormare","A private investigator is hired to discover if a ""snuff film"" is authentic or not.",English,"Germany, USA",2 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BNTNiMzAxZGMtZGYwZi00NWVmLTgyNmYtMGIwZGJhNzE0NmJjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '19/100'}]",19,6.5,"118,576",tt0134273,movie,22 May 2001,N/A,Columbia Pictures,N/A,True
Snake Eyes,1998,R,07 Aug 1998,98 min,"Crime, Mystery, Thriller",Brian De Palma,"Brian De Palma (story), David Koepp (story), David Koepp (screenplay)","Nicolas Cage, Gary Sinise, John Heard, Carla Gugino",A shady police detective finds himself in the middle of a murder conspiracy at an important boxing match in an Atlantic City casino.,English,"USA, Canada",1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNmZiODkzNWEtNDkxZC00NDg2LWFiYzktZjY2ZmUwMmM2ZmJlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.0,"73,153",tt0120832,movie,16 Feb 1999,N/A,Paramount Pictures,N/A,True
City of Angels,1998,PG-13,10 Apr 1998,114 min,"Drama, Fantasy, Romance",Brad Silberling,"Wim Wenders (screenplay ""Der Himmel über Berlin""), Peter Handke (screenplay ""Der Himmel über Berlin""), Richard Reitinger (screenplay ""Der Himmel über Berlin""), Dana Stevens (screenplay)","Nicolas Cage, Meg Ryan, Andre Braugher, Dennis Franz","An angel on Earth, a doctor unable to believe, a patient with a secret, a love story made in Heaven.",English,"USA, Germany",Nominated for 1 Golden Globe. Another 10 wins & 13 nominations.,https://m.media-amazon.com/images/M/MV5BZjk2OTEwNDEtNjVhYi00MzI3LWFhNzctZGUzOWMxMDMwZjJlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.7,"109,651",tt0120632,movie,19 Mar 2002,N/A,N/A,N/A,True
Face/Off,1997,R,27 Jun 1997,138 min,"Action, Crime, Sci-Fi, Thriller",John Woo,"Mike Werb, Michael Colleary","John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","In order to foil a terrorist plot, an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind, who murdered his only son. The plan turns sour when the criminal wakes up prematurely and seeks revenge.","English, Latin",USA,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,https://m.media-amazon.com/images/M/MV5BYzFjNzIxMmEtMzY5NS00YTgzLTkwYWEtN2FjMmY0NmNkZWY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.3,"335,884",tt0119094,movie,06 Oct 1998,N/A,Paramount Pictures,N/A,True
Con Air,1997,R,06 Jun 1997,115 min,"Action, Crime, Thriller",Simon West,Scott Rosenberg,"Colm Meaney, Mykelti Williamson, Nick Chinlund, Renoly Santiago",Newly paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner transport plane when the passengers seize control.,"English, Spanish",USA,Nominated for 2 Oscars. Another 7 wins & 9 nominations.,https://m.media-amazon.com/images/M/MV5BMGZmNGIxMTYtMmVjMy00YzhkLWIyOTktNTExZGFiYjNiNzdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '55%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,6.9,"264,029",tt0118880,movie,24 Mar 1998,N/A,Disney,N/A,True
The Rock,1996,R,07 Jun 1996,136 min,"Action, Adventure, Thriller",Michael Bay,"David Weisberg (story), Douglas Cook (story), David Weisberg (screenplay), Douglas Cook (screenplay), Mark Rosner (screenplay)","Sean Connery, Nicolas Cage, Ed Harris, John Spencer","A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.",English,USA,Nominated for 1 Oscar. Another 9 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BZDJjOTE0N2EtMmRlZS00NzU0LWE0ZWQtM2Q3MWMxNjcwZjBhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,7.4,"300,428",tt0117500,movie,02 Dec 1997,N/A,Disney,N/A,True
Leaving Las Vegas,1995,R,09 Feb 1996,111 min,"Drama, Romance",Mike Figgis,"John O'Brien (based upon the novel by), Mike Figgis (screenplay by)","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis","Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera..","English, Russian","France, UK, USA",Won 1 Oscar. Another 31 wins & 28 nominations.,https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.5,"109,729",tt0113627,movie,24 Feb 1998,N/A,United Artists,N/A,True
Kiss of Death,1995,R,21 Apr 1995,101 min,"Action, Crime, Thriller",Barbet Schroeder,"Eleazar Lipsky (story), Ben Hecht, Charles Lederer, Richard Price (screenplay)","David Caruso, Samuel L. Jackson, Nicolas Cage, Helen Hunt",A reformed convict goes undercover with the help of an angry detective to ensnare a psychotic mobster.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYTlhZWU3ZjAtNjFkZS00NWQ3LTliOGYtOGZlN2VhOGUxZDRmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}]",N/A,5.9,"16,308",tt0113552,movie,01 Jun 2004,N/A,Twentieth Century Fox Home Entertainment,N/A,True
Trapped in Paradise,1994,PG-13,02 Dec 1994,111 min,"Adventure, Comedy, Crime, Romance",George Gallo,George Gallo,"Nicolas Cage, Richard B. Shull, Jon Lovitz, Dana Carvey",Residents of a friendly Pennsylvania town foil three brothers' plan to rob a bank on Christmas Eve.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjc0YzllMzktMDYyNS00YWRlLWJiOTYtODExYTkzZTI3YTBhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}]",N/A,6.0,"11,832",tt0111477,movie,01 Jun 2004,N/A,Twentieth Century Fox Home Entertainment,N/A,True
It Could Happen to You,1994,PG,29 Jul 1994,101 min,"Comedy, Drama, Romance",Andrew Bergman,Jane Anderson,"Nicolas Cage, Bridget Fonda, Rosie Perez, Wendell Pierce",A police officer promises to share his lottery ticket with a waitress in lieu of a tip.,"English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BYzMxOGUzOWEtMGUxMi00ZWM1LWE3ODgtNzc4OGVjZmJhMmFmXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.3,"33,368",tt0110167,movie,30 Oct 2001,N/A,Sony Pictures Home Entertainment,N/A,True
Guarding Tess,1994,PG-13,11 Mar 1994,96 min,"Comedy, Drama",Hugh Wilson,"Hugh Wilson, Pj Torokvei","Shirley MacLaine, Nicolas Cage, Austin Pendleton, Edward Albert","A former U.S. First Lady wants a particular Secret Service agent to head her bodyguard detail, even though he can't stand her.",English,USA,Nominated for 1 Golden Globe. Another 1 nomination.,https://m.media-amazon.com/images/M/MV5BNzFkM2RiNWQtOWQxNy00ZWNmLWIyZTktNmJjZmY1ZTliZjU1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.2,"14,908",tt0109951,movie,14 Apr 1998,N/A,Sony Pictures Home Entertainment,N/A,True
Deadfall,1993,R,08 Oct 1993,98 min,"Crime, Drama",Christopher Coppola,"Christopher Coppola, Nick Vallelonga","Michael Biehn, Sarah Trigger, Nicolas Cage, James Coburn","When Joe loses his dad in a sting, he contacts his dad's twin, Lou, who has a major sting planned. Lou's helper feels threatened by Joe. Who's conning who?",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjEwMDcxMDc5OF5BMl5BanBnXkFtZTYwNzk5MTU5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}]",N/A,4.0,"2,721",tt0106684,movie,29 Jul 2008,N/A,Trimark,N/A,True
Red Rock West,1993,R,14 May 1993,98 min,"Crime, Drama, Thriller",John Dahl,"John Dahl, Rick Dahl","Nicolas Cage, Craig Reay, Vance Johnson, Robert Apel","Upon arriving to a small town, a drifter is mistaken for a hitman, but when the real hitman arrives, complications ensue.",English,USA,3 nominations.,https://m.media-amazon.com/images/M/MV5BNzhiMTQxYzMtOWI4NS00NWJiLWE5MDMtMmIzNjMxODNjZjBlXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.0,"19,152",tt0105226,movie,10 Aug 1999,N/A,Sony Pictures Home Entertainment,N/A,True
Amos & Andrew,1993,PG-13,05 Mar 1993,96 min,"Comedy, Crime",E. Max Frye,E. Max Frye,"Samuel L. Jackson, Michael Lerner, Margaret Colin, Nicolas Cage","A Pulitzer prize writer buys a cabin. The neighbors get suspicious when a stranger ""breaks in"". They see a black man and call the police, who start shooting at him. The sheriff tries a cover-up involving a white petty crook. Bad idea.","English, Spanish",USA,N/A,https://m.media-amazon.com/images/M/MV5BNTZhNzhmNWEtNjllOC00YjE1LWE1ZDUtYTk4MzUwZTk0Y2IyXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,5.7,"8,193",tt0106266,movie,22 May 2001,N/A,Sony Pictures Home Entertainment,N/A,True
Honeymoon in Vegas,1992,PG-13,28 Aug 1992,96 min,"Comedy, Romance, Thriller",Andrew Bergman,Andrew Bergman,"James Caan, Nicolas Cage, Sarah Jessica Parker, Pat Morita","Jack loses $65000 in poker in Las Vegas, where he's marrying Betsy. The wedding'll have to wait as the poker winner wants the weekend with Betsy to cancel the debt. She accepts. Whom will she marry?","English, Hawaiian",USA,Nominated for 2 Golden Globes. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BYzA3ODllYTgtMWM4NC00MmNiLThhYTctNzdkNTQzZTA4YmM1XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}]",N/A,5.8,"16,305",tt0104438,movie,15 May 2001,N/A,Sony Pictures Home Entertainment,N/A,True
Zandalee,1991,R,09 May 1991,100 min,"Drama, Romance, Thriller",Sam Pillsbury,Mari Kornhauser,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano","Thierry's wife Zandalee married the poet, he once was. Taking over his dad's company in New Orleans gives him stress and impotence. Thierry meets his high school buddy Johnny at a bachelor party. The painter Johnny can satisfy Zandalee.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzg5ODRlMjMtYmExYi00Y2NlLThhNmEtNzlhNWYyZjg4MDk2XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,4.4,"3,259",tt0101004,movie,26 Apr 2005,N/A,Live Home Video,N/A,True
Industrial Symphony No. 1: The Dream of the Brokenhearted,1990,N/A,N/A,50 min,"Drama, Fantasy, Music",David Lynch,N/A,"Laura Dern, Nicolas Cage, Julee Cruise, Lisa Giobbi","The performer of Twin Peaks theme Julee Cruise's experimental concert film, which opens with a short intro where a man breaks up with his girl over the phone, which devastates her. The concert is set in her nightmarish subconscious mind.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjczNzFjOTktZGRmNS00Yjc3LTgzNGEtMDQxZWY4MjUwMjkzXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"1,538",tt0099844,movie,N/A,N/A,Warner Reprise Video,N/A,True
Fire Birds,1990,PG-13,25 May 1990,85 min,"Action, Adventure",David Green,"Step Tyner (story), John K. Swensson (story), Dale Dye (story), Nick Thiel (screenplay), Paul F. Edwards (screenplay)","Nicolas Cage, Tommy Lee Jones, Sean Young, Bryan Kestner",Elite Apache helicopter pilots are tasked with destroying powerful armed drug cartels operating in South America.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDFlOTI3YjEtOTZjNS00ZDc0LTgyZmMtM2QzMzU1ZDcyMTU2XkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '10%'}]",N/A,4.8,"5,642",tt0099575,movie,03 Feb 2004,N/A,Touchstone Pictures,N/A,True
Wild at Heart,1990,R,17 Aug 1990,125 min,"Comedy, Crime, Drama, Thriller",David Lynch,"Barry Gifford (novel), David Lynch (screenplay)","Nicolas Cage, Laura Dern, Willem Dafoe, J.E. Freeman",Young lovers Sailor and Lula run from the variety of weirdos that Lula's mom has hired to kill Sailor.,"English, Spanish",USA,Nominated for 1 Oscar. Another 4 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMjAxYmJhMTMtNmZlZi00ZWJlLTlmMjctOTg5ZTg4MzZmOWM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '52/100'}]",52,7.2,"77,814",tt0100935,movie,07 Dec 2004,N/A,Media Home Entertainment,N/A,True
Time to Kill,1989,PG-13,27 Oct 1989,110 min,"Drama, War",Giuliano Montaldo,"Ennio Flaiano (novel), Giuliano Montaldo, Furio Scarpelli, Giacomo Scarpelli, Paolo Virzì","Nicolas Cage, Ricky Tognazzi, Patrice-Flora Praxo, Gianluca Favilla","1936, Italian army is invading Ethiopia. Lieutenant Silvestri suffering toothache decides to reach the nearest camp hospital. But the lorry has an accident and stop near a rock, so ...","Italian, English","Italy, France",N/A,https://m.media-amazon.com/images/M/MV5BODcyZTA3Y2UtYWE3ZC00ZGM1LWE0NTktYWY4M2M4MWQzNTA5XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,604,tt0100762,movie,10 Sep 2002,N/A,MoMedia,N/A,True
Never on Tuesday,1989,R,13 Apr 1989,90 min,"Comedy, Drama",Adam Rifkin,Adam Rifkin,"Claudia Christian, Andrew Lauer, Peter Berg, Dave Anderson","After their cars crash on a desert highway in the middle of nowhere, two friends and a woman they both like must wait for someone to stop by and help them. Unfortunately, those who do stop turn out to be criminals, eccentrics or wackos.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTg5MzQxNTYxMl5BMl5BanBnXkFtZTgwNjk1ODk1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}]",N/A,4.6,515,tt0095722,movie,N/A,N/A,Cinema Group,N/A,True
Vampire's Kiss,1988,R,16 Jun 1989,103 min,"Comedy, Horror",Robert Bierman,Joseph Minion,"Nicolas Cage, Maria Conchita Alonso, Jennifer Beals, Elizabeth Ashley","After an encounter with a neck-biter, a publishing executive thinks that he's turning into a vampire.","English, German",USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMTM1MDAyMDYxMV5BMl5BanBnXkFtZTcwNDQwMzc3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,6.0,"12,960",tt0098577,movie,27 Aug 2002,N/A,MGM,N/A,True
Moonstruck,1987,PG,15 Jan 1988,102 min,"Comedy, Drama, Romance",Norman Jewison,John Patrick Shanley,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis","Loretta Castorini, a bookkeeper from Brooklyn, New York, finds herself in a difficult situation when she falls for the brother of the man she has agreed to marry.","English, Italian, Latin",USA,Won 3 Oscars. Another 15 wins & 19 nominations.,https://m.media-amazon.com/images/M/MV5BMjIwMDY0NzYyMF5BMl5BanBnXkFtZTcwOTE5NDk0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.1,"45,696",tt0093565,movie,30 Jun 1998,N/A,MGM Home Entertainment,N/A,True
Raising Arizona,1987,PG-13,17 Apr 1987,94 min,"Comedy, Crime","Joel Coen, Ethan Coen","Ethan Coen, Joel Coen","Nicolas Cage, Holly Hunter, Trey Wilson, John Goodman","When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BOGUwZTEwZTYtZmQ0OS00NmM1LWE2ZTQtNjZiYmE4ZmUxMjk1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.3,"120,092",tt0093822,movie,03 Aug 1999,N/A,20th Century Fox,N/A,True
Peggy Sue Got Married,1986,PG-13,10 Oct 1986,103 min,"Comedy, Drama, Fantasy, Romance",Francis Ford Coppola,"Jerry Leichtling, Arlene Sarner","Kathleen Turner, Nicolas Cage, Barry Miller, Catherine Hicks","Peggy Sue faints at a high school reunion. When she wakes up, she finds herself in her own past, just before she finished school.",English,USA,Nominated for 3 Oscars. Another 4 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYjg2MzE1MzQtZDY2My00YzU2LThjNmMtODY5YTU5ZDQ2MzAzXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.3,"30,988",tt0091738,movie,11 Aug 1998,N/A,Twentieth Century Fox Home Entertainment,N/A,True
The Boy in Blue,1986,R,17 Jan 1986,100 min,"Biography, Drama, Sport",Charles Jarrott,Douglas Bowie,"Nicolas Cage, Cynthia Dale, Christopher Plummer, David Naughton","Based on the life of Ned Hanlan, the late-19th century Canadian sculler and world champion. Hanlan was one of the first scullers to successfully utilize the ""sliding seat.""",English,Canada,3 nominations.,https://m.media-amazon.com/images/M/MV5BMTk4ZTNkNWQtMGM3OS00ZjE0LTg2ZmMtMGFmNjI3MGJlN2FlXkEyXkFqcGdeQXVyMjIzMTQ5NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"1,000",tt0090769,movie,07 Feb 2006,N/A,Twentieth Century Fox Home Entertainment,N/A,True
Birdy,1984,R,21 Dec 1984,120 min,"Drama, War",Alan Parker,"William Wharton (based on the novel by), Sandy Kroopf (screenplay), Jack Behr (screenplay)","Matthew Modine, Nicolas Cage, John Harkins, Sandy Baron",After two friends return home from the Vietnam War one becomes mentally unstable and obsesses with becoming a bird.,English,USA,3 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNTVmZmQ3NzgtNDhlNi00NDY2LWFhN2YtMDRhOGY0M2U3ZTc4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,7.3,"20,318",tt0086969,movie,15 Feb 2000,N/A,Sony Pictures Home Entertainment,N/A,True
The Cotton Club,1984,R,14 Dec 1984,127 min,"Crime, Drama, Music",Francis Ford Coppola,"William Kennedy (screenplay), Francis Ford Coppola (screenplay), William Kennedy (story), Francis Ford Coppola (story), Mario Puzo (story), Jim Haskins (pictorial history ""The Cotton Club"")","Richard Gere, Gregory Hines, Diane Lane, Lonette McKee","The Cotton Club was a famous Harlem nightclub. This is the story of the people who visited this club as well as the people who ran it, and the film is generously peppered with the jazz ...","English, Italian",USA,Nominated for 2 Oscars. Another 1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMWU2NGMxNTctNDc4MC00ZTdkLTlhYjItMTRjMmMxZDBjZTMwXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.5,"15,455",tt0087089,movie,19 Jan 2000,N/A,Nelson Entertainment,N/A,True
Racing with the Moon,1984,PG,23 Mar 1984,108 min,"Comedy, Drama, Romance",Richard Benjamin,Steve Kloves,"Sean Penn, Elizabeth McGovern, Nicolas Cage, John Karlen","In 1942 California, two young men await induction into the U.S. Marines and say goodbye to their girlfriends.",English,USA,1 win.,https://m.media-amazon.com/images/M/MV5BOTBlOTIyNzAtZjQ3NC00MzA3LWFiNjktYjYyZjBkMDNjMDlmXkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",N/A,6.7,"3,853",tt0087968,movie,30 Nov 2004,N/A,Paramount Home Video,N/A,True
Rumble Fish,1983,R,21 Oct 1983,94 min,"Crime, Drama, Romance",Francis Ford Coppola,"S.E. Hinton (novel), S.E. Hinton (screenplay), Francis Ford Coppola (screenplay)","Matt Dillon, Mickey Rourke, Diane Lane, Dennis Hopper","Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.",English,USA,Nominated for 1 Golden Globe. Another 3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYjVkNjczZDEtZGQyZS00ZWUyLWFmMzctMzE5YjM1YTczZTE3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",63,7.2,"30,114",tt0086216,movie,08 Sep 1998,N/A,Universal Pictures,N/A,True
Valley Girl,1983,R,29 Apr 1983,99 min,"Comedy, Romance",Martha Coolidge,"Andrew Lane, Wayne Crawford","Nicolas Cage, Deborah Foreman, Elizabeth Daily, Michael Bowen","Julie, a girl from the valley, meets Randy, a punk from the city. They are from different worlds and find love. Somehow they need to stay together in spite of her trendy, shallow friends.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjA4NzI5OTgyMV5BMl5BanBnXkFtZTgwODgwNjU1MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.4,"12,171",tt0086525,movie,01 Mar 2005,N/A,MGM Home Entertainment,N/A,True
Fast Times at Ridgemont High,1982,R,13 Aug 1982,90 min,"Comedy, Drama",Amy Heckerling,"Cameron Crowe (screenplay), Cameron Crowe (book)","Sean Penn, Jennifer Jason Leigh, Judge Reinhold, Robert Romanus","A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.",English,USA,1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYzBlZjE1MDctYjZmZC00ZTJmLWFkOWEtYjdmZDZkODBkZmI2XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.2,"88,281",tt0083929,movie,02 Nov 2004,N/A,Universal Pictures,N/A,True
Best of Times,1981,N/A,N/A,95 min,Comedy,Don Mischer,"Bob Arnott, Carol Hatfield, Lane Sarasohn","Crispin Glover, Jill Schoelen, Nicolas Cage, Julie Piekarski","Here's the lives of 7 teenage friends in 1981, singing, dancing and breaking the 4th wall.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNjZlYTFiMzgtZWYwMS00OTExLWI3YmQtYTc5YzlmYzJiMTI0XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,197,tt0082064,movie,N/A,N/A,N/A,N/A,True
